Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
0,0,0.0,"(-89.07708495713173, 59.21850350740452)","('e1', 'e2')","('', -1.0)",e1_0,0.0
1,0,1.2479122781660408,"(-88.2028330844181, 60.10880413505948)","('e1', 'e2')","('', -1.0)",e1_0,1.2479122781660408
2,0,4.416430142242461,"(-85.10880765481124, 63.25962699050188)","('e1', 'e2')","('', -1.0)",e1_0,3.1685178640764207
3,0,6.183142573921941,"(-80.7770737107789, 67.67087913599153)","('e1', 'e2')","('1', 4.347484994330445)",e1_0,1.7667124316794798
3,1,0.0,"(-89.07708495713173, 59.21850350740452)","('e1', 'e2')","('', -1.0)",e1_0,0.0
4,0,9.232779306941666,"(-74.30885095131717, 74.25783989901096)","('e1', 'e2')","('1', 13.257701333379373)",e1_0,3.0496367330197245
4,1,0.3225629678927362,"(-88.85110651002267, 59.448630270156784)","('e1', 'e2')","('', -1.0)",e1_0,0.3225629678927362
5,0,7.0327793069416655,"(-69.38188566132803, 79.27525012942453)","('e1', 'e2')","('1', 19.43211098068859)",e1_0,-2.2
5,1,0.8583696596324444,"(-88.2497571238967, 60.061018704906246)","('e1', 'e2')","('', -1.0)",e1_0,0.5358066917397082
6,0,9.64393605152145,"(-62.62561817290828, 86.15554329582565)","('e1', 'e2')","('1', 26.77485631110612)",e1_0,2.6111567445797847
6,1,2.3011907211039215,"(-86.63760831135923, 61.70276194215004)","('e1', 'e2')","('', -1.0)",e1_0,1.4428210614714772
7,0,9.991103926440701,"(-55.62613473886117, 93.28351715449185)","('e1', 'e2')","('1', 32.064595303568055)",e1_0,0.3471678749192506
7,1,4.701364933978766,"(-83.34396566535409, 65.05686641310501)","('e1', 'e2')","('2', 0.6834882826078683)",e1_0,2.4001742128748447
7,2,0.0,"(-89.07708495713173, 59.21850350740452)","('e1', 'e2')","('', -1.0)",e1_0,0.0
8,0,7.791103926440701,"(-50.167908774286644, 98.84194048055215)","('e1', 'e2')","('1', 34.29584897824097)",e1_0,-2.2
8,1,5.559850251767784,"(-79.44889260640583, 69.02344183304639)","('e1', 'e2')","('2', 5.35312326803086)",e1_0,0.8584853177890182
8,2,0.890215266344794,"(-88.4534254440897, 59.853611618961494)","('e1', 'e2')","('', -1.0)",e1_0,0.890215266344794
9,0,9.071089791948907,"(-43.81296109333309, 105.31354675976537)","('e1', 'e2')","('1', 37.62807243366259)",e1_0,1.2799858655082064
9,1,5.7388663365272805,"(-75.42840596664335, 73.11773306716016)","('e1', 'e2')","('2', 8.6209253146775)",e1_0,0.17901608475949615
9,2,2.4710642898806414,"(-86.7222680375781, 61.616548106364)","('e1', 'e2')","('', -1.0)",e1_0,1.5808490235358474
10,0,8.585965607315302,"(-38.399207783455886, 110.78472159473804)","('e1', 'e2')","('1', 37.58539255571085)",:gneJ5_0_0,-0.4851241846336052
10,1,8.628645485267043,"(-69.38342219137118, 79.27368539310022)","('e1', 'e2')","('2', 12.67634928644345)",e1_0,2.8897791487397626
10,2,4.573221513501093,"(-83.51839902974342, 64.87923095283685)","('e1', 'e2')","('3', 0.4345010697265277)",e1_0,2.102157223620452
10,3,0.0,"(-89.07708495713173, 59.21850350740452)","('e1', 'e2')","('', -1.0)",e1_0,0.0
11,0,6.611321035190485,"(-32.84941285488297, 112.39720110135515)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 34.64150658950674)",e2_0,-1.9746445721248165
11,1,9.555207001394592,"(-62.68931575352745, 86.09067641046306)","('e1', 'e2')","('2', 15.384786161965863)",e1_0,0.9265615161275491
11,2,6.84677012587218,"(-78.72174648507875, 69.76393626996988)","('e1', 'e2')","('3', 5.378300809775041)",e1_0,2.273548612371086
11,3,1.9029703858236657,"(-87.74391799288816, 60.57614359040576)","('e1', 'e2')","('', -1.0)",e1_0,1.9029703858236657
12,0,7.387139128171839,"(-25.74659697184391, 114.42642663235831)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 34.67343871628398)",e2_0,0.7758180929813534
12,1,7.355207001394592,"(-57.53646678515631, 91.33811689522003)","('e1', 'e2')","('2', 15.696407215412876)",e1_0,-2.2
12,2,7.043585947947577,"(-73.78721036955767, 74.78905630454094)","('e1', 'e2')","('3', 10.179292579918396)",e1_0,0.19681582207539705
12,3,2.2425941778042233,"(-86.17282025309883, 62.17608217503824)","('e1', 'e2')","('', -1.0)",e1_0,0.3396237919805576
13,0,7.412427671486512,"(-18.619465875026158, 116.46259885230906)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 35.31399372238664)",e2_0,0.025288543314673007
13,1,6.771872665383853,"(-52.79228527250171, 96.16938796280746)","('e1', 'e2')","('2', 15.385387519988363)",e1_0,-0.583334336010739
13,2,7.082892360808362,"(-68.8251372983912, 79.84221879422132)","('e1', 'e2')","('3', 12.543637289678674)",e1_0,0.0393064128607854
13,3,4.718547651048086,"(-82.86713988389874, 65.5424453472331)","('e1', 'e2')","('4', 1.3641122146759752)",e1_0,2.4759534732438624
13,4,0.0,"(-89.07708495713173, 59.21850350740452)","('e1', 'e2')","('', -1.0)",e1_0,0.0
14,0,7.65636817086488,"(-11.25778329306128, 118.56578081456945)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 34.63110390719956)",e2_0,0.24394049937836826
14,1,8.339257986051962,"(-46.950038153928276, 102.11888196896456)","('e1', 'e2')","('2', 16.84277496764168)",e1_0,1.5673853206681088
14,2,6.881870538398649,"(-64.00389440236835, 84.75196587097962)","('e1', 'e2')","('3', 12.747606403174565)",e1_0,-0.20102182240971267
14,3,6.677901424902759,"(-78.18879195138372, 70.30667431911749)","('e1', 'e2')","('4', 7.699071312937868)",e1_0,1.959353773854673
14,4,0.34294232664086755,"(-88.83682931052557, 59.463169558055554)","('e1', 'e2')","('', -1.0)",e1_0,0.34294232664086755
15,0,7.765330021036789,"(-3.7913326883723144, 120.69889427865182)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 35.6640134296147)",e2_0,0.10896185017190874
15,1,6.73242049862165,"(-42.23349570795965, 106.92200659593652)","('e1', 'e2')","('3', 37.84117204797748)",e1_0,-1.6068374874303117
15,2,7.26608587813098,"(-61.26722554725256, 92.24582448915257)","('e1', 'e2')","('', -1.0)",e1_1,0.38421533973233046
15,3,5.981629821460418,"(-73.9982321141356, 74.57416080644674)","('e1', 'e2')","('4', 10.906817187265041)",e1_0,-0.6962716034423408
15,4,2.773883947133244,"(-86.89352505917593, 61.442147297423666)","('e1', 'e2')","('', -1.0)",e1_0,2.4309416204923764
16,0,8.325498125515878,"(4.213725737373181, 122.98588428405013)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 35.81607252098618)",e2_0,0.5601681044790894
16,1,8.173439034144394,"(-37.43515653690363, 111.0870857454984)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 39.29691952465144)",e2_0,1.441018535522744
16,2,8.36645470559597,"(-55.40483834512413, 98.21472150696668)","('e1', 'e2')","('', -1.0)",e1_1,1.1003688274649903
16,3,6.717691557470433,"(-69.2920083456973, 79.36677733458751)","('e1', 'e2')","('4', 12.181853263026145)",e1_0,0.736061736010015
16,4,5.442655481709325,"(-83.08055532510754, 65.32511221110873)","('e1', 'e2')","('', -1.0)",e1_0,2.668771534576081
17,0,8.364474767819047,"(12.256260635297558, 125.28358105918731)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 36.478853269200755)",e2_0,0.038976642303168774
17,1,7.701694019604474,"(-30.029892650626767, 113.2027185859514)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 37.77583826901899)",e2_0,-0.4717450145399198
17,2,6.862028614850715,"(-50.59660473269171, 103.11031271932836)","('e1', 'e2')","('', -1.0)",e1_1,-1.5044260907452554
17,3,9.222775275236927,"(-62.83079412650365, 85.94660090065676)","('e1', 'e2')","('4', 14.769020012320723)",e1_0,2.505083717766494
17,4,6.635608525942349,"(-78.43183659551453, 70.05916807295277)","('e1', 'e2')","('ev_0', 5.695090281425786)",e1_0,1.1929530442330236
17,ev_0,0.0,"(-87.67594180306574, 60.64536762795531)","('e1', 'e2')","('', -1.0)",e1_0,0.0
18,0,6.569621581584215,"(18.573024365559213, 127.088236909182)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 33.73889030511489)",e2_0,-1.7948531862348318
18,1,9.309584545670077,"(-21.078624259957532, 115.76003425516113)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 40.06264753945214)",e2_0,1.607890526065603
18,2,9.544717289507389,"(-43.90860719312262, 109.9198200399278)","('e1', 'e2')","('ev_0', 53.213358424811524)",e1_1,2.6826886746566743
18,3,7.022775275236927,"(-57.91083737678259, 90.95687393412015)","('e1', 'e2')","('4', 14.211287071622678)",e1_0,-2.2
18,4,7.5805082159349695,"(-73.12114799996539, 75.46734566738182)","('e1', 'e2')","('', -1.0)",e1_0,0.9448996899926208
18,ev_0,5.115548106026836,"(-86.45054735205134, 66.60496365267593)","('e1', 'e2')","('', -1.0)",e1_1,5.115548106026836
19,0,9.534376541036181,"(27.740432743219806, 129.70730228260706)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 36.163682300481)",e2_0,2.964754959451966
19,1,7.109584545670077,"(-14.242680174348884, 117.71301635345141)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 40.21095864915331)",e2_0,-2.2
19,2,8.396571018616669,"(-37.19388444853533, 114.5832124358945)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('ev_0', 52.22151905412124)",e2_1,-1.1481462708907202
19,3,6.961273435968906,"(-53.03396706758795, 95.92326958368383)","('e1', 'e2')","('4', 15.616754980471171)",e1_0,-0.06150183926802111
19,4,5.555805527120409,"(-69.228908560142, 79.43103545108477)","('e1', 'e2')","('', -1.0)",e1_0,-2.0247026888145605
19,ev_0,9.388410389306955,"(-79.87207428892823, 73.30295661943013)","('e1', 'e2')","('', -1.0)",e1_1,4.272862283280119
20,0,8.414557204931043,"(33.553850740751685, 128.85631815477134)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 35.82172916701528)",e3_0,-1.119819336105138
20,1,8.756510338396765,"(-5.823198744201179, 120.11840415417707)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 41.572640279639)",e2_0,1.6469257927266883
20,2,8.604169260594063,"(-28.92210718646172, 116.94675258773552)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('ev_0', 49.789877615028885)",e2_1,0.20759824197739363
