Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
0,car1.0,0.0,"(-29.65, 135.25433027522934)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 49.38)",E0_0,0.0
0,car2.0,0.0,"(-70.48741601075062, 103.08340564407756)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,0.0
1,car1.0,0.5776988505385816,"(-29.072301149461417, 135.25708626974568)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 49.90691678050906)",E0_0,0.5776988505385816
1,car2.0,0.05078207002952695,"(-70.44995095121453, 103.11769255908885)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,0.05078207002952695
2,car1.0,2.9495538930641487,"(-26.12274725639727, 135.27115753602453)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 49.57465764274355)",E0_0,2.371855042525567
2,car2.0,3.281813030829653,"(-68.02875542856559, 105.3334991302979)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,3.231030960800126
3,car1.0,6.047650590189733,"(-20.075096666207536, 135.30000871315204)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 49.7371820827201)",E0_0,3.098096697125584
3,car2.0,5.885126150213182,"(-63.686935540819526, 109.3070043463278)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,2.603313119383529
4,car1.0,7.852208017138764,"(-12.222888649068768, 135.33746878809617)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 50.38399592367467)",E0_0,1.8045574269490317
4,car2.0,7.2053941761842,"(-58.37107264600749, 114.17192492948)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,1.3202680259710178
5,car1.0,9.010716743185185,"(-3.2121719058835865, 135.38045569366)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 49.66204241942149)",E0_0,1.1585087260464206
5,car2.0,9.732670247438364,"(-51.190682597839775, 120.74320564751432)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,2.527276071254164
6,car1.0,9.390067456057295,"(6.177895550173709, 135.42525234574396)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 49.941909426186854)",E0_0,0.3793507128721103
6,car2.0,9.110200449291927,"(-44.46952684306364, 126.8942087153123)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,-0.6224697981464367
7,car1.0,11.259242887608707,"(17.437138437782416, 135.47896616502427)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 54.29095186450363)",E0_0,1.8691754315514117
7,car2.0,6.910200449291927,"(-39.37144653463037, 131.55982111311604)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,-2.2
8,car1.0,10.017161425911263,"(27.454299863693684, 135.52675445806534)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 59.59791284112297)",E0_0,-1.2420814616974436
8,car2.0,4.710200449291927,"(-35.89644167253998, 134.74004284092555)","('E7', 'E0', 'E1')","('', -1.0)",E7_0,-2.2
9,car1.0,7.817161425911263,"(35.27146128960494, 135.56404733826233)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_0,-2.2
9,car2.0,2.5102004492919265,"(-36.533805870616966, 138.2412727663116)","('E7', 'E0', 'E1')","('', -1.0)",:J0_0_1,-2.2
10,car1.0,5.992149290653968,"(41.26361058025891, 135.59263373854802)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_0,-1.8250121352572952
10,car2.0,6.000390166326736,"(-31.143464805558416, 138.44725530616384)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,3.4901897170348093
11,car1.0,3.7921492906539678,"(45.05575987091288, 135.61072472598968)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_0,-2.2
11,car2.0,8.374089163055952,"(-22.770399995916904, 138.48720508932703)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,2.3736989967292166
12,car1.0,4.158264341983386,"(48.791082872919986, 134.4630854228731)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_0,0.3661150513294178
12,car2.0,11.444550730314415,"(-11.32724921064596, 138.54180294602213)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,3.0704615672584623
13,car1.0,4.9112185748390855,"(52.16518911751574, 130.8943192026276)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_0,0.7529542328557
13,car2.0,11.887435360390961,"(0.5587320292116189, 138.598513646824)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,0.44288463007654677
14,car1.0,7.809392208685541,"(57.530399119126514, 125.21957785477004)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_0,2.898173633846455
14,car2.0,9.788927976785496,"(10.346462583614645, 138.64521311974076)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,-2.0985073836054653
15,car1.0,8.64923367578108,"(63.47259715240729, 118.9345607041846)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_0,0.839841467095539
15,car2.0,9.528035904431285,"(19.873332979066788, 138.69066796992703)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,-0.26089207235421163
16,car1.0,10.789853567353775,"(70.88544423813792, 111.09404936350796)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_0,2.1406198915726957
16,car2.0,9.741406947720037,"(29.613548317374246, 138.73714073701709)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,0.21337104328875256
17,car1.0,8.80341421868188,"(76.93356741497918, 104.69699600338741)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_0,-1.9864393486718956
17,car2.0,8.693345912274614,"(38.305830823421054, 138.77861357990133)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,-1.0480610354454232
18,car1.0,6.9471232348424525,"(81.70638123531015, 99.6488275395758)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_0,-1.8562909838394273
18,car2.0,7.029892519872204,"(45.334863417602755, 138.81215068183099)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E0_1,-1.6634533924024097
19,car1.0,4.747123234842452,"(84.96775067070986, 96.19930217521073)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_0,-2.2
19,car2.0,5.607174617365502,"(50.52187250357053, 137.29685993710092)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_1,-1.4227179025067018
20,car1.0,2.547123234842452,"(89.02921122537099, 96.55516463458662)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 41.81841877807546)",:J2_0_1,-2.2
20,car2.0,6.758250614289693,"(55.164927023082534, 132.3847302726172)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_1,1.1510759969241908
21,car1.0,5.797926037695738,"(90.31544985231159, 92.31380789248561)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 40.307884853624344)",E2_1,3.2508028028532863
21,car2.0,7.308459962146856,"(60.18598646502881, 127.07268947527747)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_1,0.5502093478571624
22,car1.0,7.632526997483815,"(90.4894386397811, 84.68292229865718)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 37.15840528515033)",E2_1,1.8346009597880766
22,car2.0,10.782006565957829,"(67.59344250248743, 119.2359551903258)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_1,3.4735466038109735
23,car1.0,10.074048527057762,"(90.71908361695704, 74.61104023364824)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 35.203823298724124)",E2_1,2.441521529573947
23,car2.0,12.028630513483971,"(75.85735434249571, 110.49313161946465)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_1,1.2466239475261425
24,car1.0,8.011092514797717,"(90.90170206998253, 66.6016705344451)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 33.38628530003787)",E2_1,-2.062956012260045
24,car2.0,9.828630513483972,"(82.60982179757272, 103.34934393505236)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E1_1,-2.1999999999999993
